word,freq
六部,3
科研经历,3
一些普通,3
法制社会,3
国内国外,3
期待,3
反差,3
一斤,3
可是,3
两天,3
角落,3
不了一点,3
很多很多,3
住处,3
头上,3
食材,3
上半年,3
错过,3
何必,3
方块字,3
小红书,3
鞋子,3
汉堡,3
看人,3
柠檬,3
解释解释,3
空气,3
隐形,3
骑车,3
吃饺子,3
饺子自助,3
食物,3
冰箱,3
飕飕,3
游戏,3
颜渐,3
两个盒子,3
堰塞湖,3
一眼,3
向导,3
引擎,3
小蛇,3
乐团,3
九楼,3
感覺,3
沒有,3
需求,3
篆刻,3
爱好,3
派大星,3
捉迷藏,3
饭堂,3
楼下饭堂,3
最佳,3
出镜,3
图为,3
海浪,3
后门,3
快递,3
年度最佳,3
电视,2
上个世纪,2
就算,2
希腊,2
上下学,2
通勤,2
在内,2
目的地,2
走来走去,2
机理,2
上班,2
纯属,2
有病,2
海岸线,2
大意,2
外面,2
落日,2
飞车,2
演唱会,2
月底,2
流行,2
主导,2
要死,2
窗口,2
除夕,2
守岁,2
拨人,2
有的是,2
鸽子,2
问问,2
提前,2
替代,2
讨厌上下班,2
而言就是,2
多少有点,2
有点毛病,2
落日飞车,2
之间交流,2
最高评价,2
不是每天,2
每天醒来,2
所有窗口,2
不会改变,2
正式,2
鲜活,2
常用,2
米尔,2
一月,2
雪山,2
女神,2
一支,2
最终,2
相悖,2
详细,2
中是,2
本名,2
谐音,2
代替,2
神秘,2
玄学,2
记述,2
正月,2
五人,2
到达,2
马路上,2
并未,2
行人,2
对面,2
等待,2
一拨,2
执事,2
家人,2
不乏,2
男士,2
赤裸,2
上身,2
坚定,2
严格,2
银针,2
扛着,2
鲜花,2
孔雀,2
羽毛,2
信徒,2
子夜,2
倾倒,2
神谕,2
问句,2
往前走,2
交警,2
便利,2
谈不上,2
欢迎,2
出彩,2
技巧,2
若干,2
脸颊,2
一侧,2
舌头,2
嘴唇,2
材质,2
钢针,2
穿体,2
准确,2
人有,2
愈合,2
目的,2
来世,2
既有,2
借助,2
放大,2
女性,2
本地人,2
北部,2
以此,2
春节,2
国人,2
较大,2
同于,2
直译,2
宣称,2
信仰,2
两三,2
自主,2
伴随,2
搀扶着,2
持续,2
长度,2
他人,2
前方,2
不快,2
一路上,2
厕所,2
一瓶,2
念诵,2
背面,2
口味,2
说来,2
自发,2
一家人,2
商店,2
支持,2
公园,2
大规模,2
封锁,2
今晚,2
瞬时,2
万人,2
不止,2
条件,2
三千,2
出口,2
疲惫,2
卫生,2
高兴,2
宗教仪式,2
情感,2
排长队,2
无力,2
各种各样,2
四五点,2
神奇,2
成立,2
民族性,2
自豪,2
带我去,2
南部,2
长大,2
姓名,2
热爱,2
名词,2
着重于,2
因果报应,2
轮回,2
意为,2
网上,2
两者,2
经典,2
所在,2
不怎么,2
最为,2
时令,2
当前,2
借口,2
三月,2
五月,2
当下,2
真理,2
兄弟,2
源自,2
幻觉,2
医学,2
文献,2
愈发,2
自信,2
主心骨,2
逻辑,2
云南,2
看好,2
想想,2
音乐会,2
部长,2
印度教节日,2
雪山女神,2
宗教节日,2
用来指代,2
程度现在,2
印度教信众,2
彭蕤是从,2
朋友一起,2
的话不能,2
这里很多,2
扛着鲜花,2
鲜花孔雀,2
孔雀羽毛,2
寺庙牛奶,2
意义在于,2
问句只是,2
一些对话,2
游行路线,2
地方于是,2
一些便利,2
一点印裔,2
上次屠妖节,2
