word,freq
原则,17
来讲,17
资料,17
礼物,17
拉面,17
大道,17
右手,17
动力,17
一段话,17
客观,17
心态,17
台上,17
换乘,17
时候发现,17
亚硝酸盐,17
常识,17
故而,17
及其,17
我们现在,17
多少有些,17
村民,17
哪天,17
严重,17
指导,17
精致,17
前沿,17
粗糙,17
满意,17
这段话,17
饺子,17
送到,17
不安,17
比起,17
一生,17
四处,17
再见,17
勺子,17
江边,17
推导,17
开着,17
减少,17
符号,17
杯子,17
开来,17
穿过,17
错过,17
和解,17
知道知道,17
早晨,17
犹豫,17
摩托车,17
地名,17
降低,17
毫无,17
职业,17
无非,17
下山,17
十个,17
人行道,17
墙上,17
等于,17
段子,17
秋天,17
家里人,17
行李,17
跑步,17
每每,17
强制,17
这件事情,17
墙壁,17
乘客,17
的士,17
若干,17
投入,17
车站,17
事情时候,17
恶心,17
早饭,17
做成,17
快门,17
流行,17
无人机,17
机票,17
抽烟,17
谐音,17
好几个,17
安定,17
上班,17
新山,17
核酸,17
理想国,17
荣格,17
平遥,17
南宁,17
也罢满足,17
宝宝,17
海豚,17
泗水,17
十三,17
水果,16
爱好,16
正经,16
趁着,16
以致于,16
规定,16
一点一点,16
华科,16
文人,16
小孩子,16
视线,16
上山,16
奶盖,16
太远,16
同桌,16
模仿,16
极大,16
十点,16
转移,16
转过,16
这儿,16
可见,16
娱乐,16
完美,16
再也,16
菜系,16
安利,16
消遣,16
网红,16
我家,16
地域,16
向往,16
生产,16
楼层,16
另一边,16
警察,16
校园,16
愿望,16
好喝,16
外国人,16
教堂,16
落到,16
知道是不是,16
一栋,16
浪漫,16
卷子,16
增长,16
优秀,16
组成,16
如同,16
展现,16
质检,16
致谢,16
学弟,16
共同,16
戴着,16
年纪,16
味蕾,16
日常生活,16
不愿,16
言语,16
前天,16
波动,16
不是那种,16
最后一次,16
美术馆,16
手电,16
期间,16
十一月,16
久远,16
辩论,16
神秘,16
设置,16
宇宙,16
同行,16
轮廓,16
橘子洲,16
危险,16
交换,16
办公室,16
劳动,16
命运,16
斗争,16
二月,16
盒子,16
不同于,16
榴莲,16
菜市场,16
可怕,16
标签,16
书籍,16
快速,16
在读,16
工资,16
就是一种,16
高尔基,16
季节,16
消解,16
西边,16
体会,16
平静,16
肘子,16
不让,16
力气,16
叙述,16
到来,16
假定,16
航班,16
通知,16
权力,16
明信片,16
悲伤,16
店主,16
参比,16
豆腐,16
图里,16
戏精,16
古美门,16
说完,16
荒谬,16
一根,16
侧写,16
广东,16
读后感,16
沉默,16
虚构,16
知道多少,16
演唱会,16
落地,16
不愧,16
农历,16
德昌,16
平衡,16
印度人,16
庙宇,16
这会儿,16
路径,16
大马,16
赌场,16
雅加达,16
泉州,16
孤独,15
歌手,15
汉语,15
极其,15
既定,15
十一点,15
没到,15
芝士,15
校内,15
红烧肉,15
小区,15
二楼,15
打包,15
退休,15
地被,15
只好,15
一线,15
些许,15
实实在在,15
继续下去,15
由此,15
处在,15
不许,15
用到,15
给予,15
重视,15
抬头,15
你好,15
隐藏,15
这份,15
过生日,15
父母,15
大学生,15
交易,15
乱七八糟,15
队伍,15
山林,15
本意,15
小学生,15
感觉像是,15
聚餐,15
可爱,15
洗漱,15
工作人员,15
资本,15
标识,15
性格,15
酒吧,15
一路上,15
单纯,15
反映,15
周二,15
微笑,15
报纸,15
破坏,15
充电,15
深入,15
市井,15
访谈,15
交互,15
小小的,15
配合,15
烟花,15
一个半小时,15
啤酒,15
还原,15
绝望,15
就是这样,15
剧情,15
美丽,15
今日,15
解决问题,15
探讨,15
渺小,15
论述,15
诚然,15
音乐剧,15
清华,15
好坏,15
固定,15
允许,15
不是为了,15
手指,15
听懂,15
天心,15
搭配,15
哪一天,15
校车,15
吃饭时候,15
热闹,15
身后,15
我点,15
奋斗,15
记述,15
巫术,15
便利店,15
猝死,15
姐妹,15
塑料,15
一双,15
课题,15
春天,15
一款,15
平素,15
方言,15
套餐,15
一行,15
老街,15
茧房,15
显著,15
前段时间,15
描写,15
大声,15
这些问题,15
做法,15
管理,15
影片,15
一件事情,15
体制,15
心思,15
三部曲,15
一些地方,15
多余,15
起飞,15
浏阳河,15
书院,15
多种,15
电视,15
樟宜,15
很累,15
我用,15
流光,15
菩萨,15
犀牛,15
介入,15
事情变得,15
春节,15
功能,15
多人,15
月亮,15
留学,15
暴力,15
因果,15
商店,15
派对,15
各自,15
改造,15
一轮,15
供奉,15
内地,15
泰米尔,15
吓人,15
